name: 0d1c574f-032d-4844-9536-cdb7f8ddec3a num_items: 100
token, class_id, token_value, token_tf, token_df
первичный, @default_class, 8.280202018795535e-05, 1.0, 1.0
панельный, @default_class, 0.0005796141340397298, 7.0, 1.0
новостройка, @default_class, 0.0005796141340397298, 7.0, 1.0
низкий, @default_class, 8.280202018795535e-05, 1.0, 1.0
монолитный, @default_class, 0.0003312080807518214, 4.0, 1.0
метриум, @default_class, 0.0001656040403759107, 2.0, 1.0
успех, @default_class, 8.280202018795535e-05, 1.0, 1.0
представляться, @default_class, 8.280202018795535e-05, 1.0, 1.0
превосходительство, @default_class, 8.280202018795535e-05, 1.0, 1.0
пожелать, @default_class, 8.280202018795535e-05, 1.0, 1.0
поблагодарить, @default_class, 8.280202018795535e-05, 1.0, 1.0
исполняться, @default_class, 8.280202018795535e-05, 1.0, 1.0
весьма, @default_class, 8.280202018795535e-05, 1.0, 1.0
благополучие, @default_class, 8.280202018795535e-05, 1.0, 1.0
яроша, @default_class, 8.280202018795535e-05, 1.0, 1.0
унсо, @default_class, 8.280202018795535e-05, 1.0, 1.0
ультрас, @default_class, 8.280202018795535e-05, 1.0, 1.0
степан, @default_class, 8.280202018795535e-05, 1.0, 1.0
стемпицкий, @default_class, 8.280202018795535e-05, 1.0, 1.0
социал, @default_class, 8.280202018795535e-05, 1.0, 1.0
скоропадский, @default_class, 0.0001656040403759107, 2.0, 1.0
сектор, @default_class, 0.00041401010821573436, 5.0, 1.0
самооборона, @default_class, 8.280202018795535e-05, 1.0, 1.0
религиозный, @default_class, 8.280202018795535e-05, 1.0, 1.0
расовый, @default_class, 8.280202018795535e-05, 1.0, 1.0
преступный, @default_class, 8.280202018795535e-05, 1.0, 1.0
предусмотренный, @default_class, 8.280202018795535e-05, 1.0, 1.0
правоохранитель, @default_class, 8.280202018795535e-05, 1.0, 1.0
посольство, @default_class, 8.280202018795535e-05, 1.0, 1.0
повстанческий, @default_class, 8.280202018795535e-05, 1.0, 1.0
одесса, @default_class, 8.280202018795535e-05, 1.0, 1.0
националист, @default_class, 8.280202018795535e-05, 1.0, 1.0
население, @default_class, 8.280202018795535e-05, 1.0, 1.0
направленность, @default_class, 8.280202018795535e-05, 1.0, 1.0
мирный, @default_class, 8.280202018795535e-05, 1.0, 1.0
идеология, @default_class, 8.280202018795535e-05, 1.0, 1.0
артем, @default_class, 0.0001656040403759107, 2.0, 1.0
телестудия, @default_class, 8.280202018795535e-05, 1.0, 1.0
сообщник, @default_class, 8.280202018795535e-05, 1.0, 1.0
подкарауливать, @default_class, 8.280202018795535e-05, 1.0, 1.0
орбита, @default_class, 8.280202018795535e-05, 1.0, 1.0
неустановленный, @default_class, 8.280202018795535e-05, 1.0, 1.0
нанимать, @default_class, 8.280202018795535e-05, 1.0, 1.0
лукина, @default_class, 0.0003312080807518214, 4.0, 1.0
лукин, @default_class, 0.0001656040403759107, 2.0, 1.0
киллер, @default_class, 0.0001656040403759107, 2.0, 1.0
золотенков, @default_class, 0.0001656040403759107, 2.0, 1.0
заграничный, @default_class, 8.280202018795535e-05, 1.0, 1.0
доркин, @default_class, 8.280202018795535e-05, 1.0, 1.0
домой, @default_class, 8.280202018795535e-05, 1.0, 1.0
дзержинский, @default_class, 0.0001656040403759107, 2.0, 1.0
градоначальник, @default_class, 8.280202018795535e-05, 1.0, 1.0
госграница, @default_class, 8.280202018795535e-05, 1.0, 1.0
выступление, @default_class, 8.280202018795535e-05, 1.0, 1.0
внуково, @default_class, 8.280202018795535e-05, 1.0, 1.0
булавинов, @default_class, 0.00024840605328790843, 3.0, 1.0
бесшумный, @default_class, 8.280202018795535e-05, 1.0, 1.0
учеба, @default_class, 8.280202018795535e-05, 1.0, 1.0
украинец, @default_class, 8.280202018795535e-05, 1.0, 1.0
туалет, @default_class, 8.280202018795535e-05, 1.0, 1.0
спрятаться, @default_class, 8.280202018795535e-05, 1.0, 1.0
путешественник, @default_class, 8.280202018795535e-05, 1.0, 1.0
польский, @default_class, 8.280202018795535e-05, 1.0, 1.0
полгода, @default_class, 8.280202018795535e-05, 1.0, 1.0
паспортный, @default_class, 8.280202018795535e-05, 1.0, 1.0
мимо, @default_class, 8.280202018795535e-05, 1.0, 1.0
львовский, @default_class, 0.0001656040403759107, 2.0, 1.0
корточки, @default_class, 8.280202018795535e-05, 1.0, 1.0
вприсядку, @default_class, 8.280202018795535e-05, 1.0, 1.0
безвизовый, @default_class, 8.280202018795535e-05, 1.0, 1.0
юбилей, @default_class, 8.280202018795535e-05, 1.0, 1.0
широкий, @default_class, 0.0001656040403759107, 2.0, 1.0
приезд, @default_class, 8.280202018795535e-05, 1.0, 1.0
приглашать, @default_class, 8.280202018795535e-05, 1.0, 1.0
празднование, @default_class, 8.280202018795535e-05, 1.0, 1.0
праздник, @default_class, 8.280202018795535e-05, 1.0, 1.0
парад, @default_class, 0.0001656040403759107, 2.0, 1.0
молдавский, @default_class, 8.280202018795535e-05, 1.0, 1.0
кремлевский, @default_class, 8.280202018795535e-05, 1.0, 1.0
единица, @default_class, 8.280202018795535e-05, 1.0, 1.0
додон, @default_class, 0.0001656040403759107, 2.0, 1.0
годовщина, @default_class, 8.280202018795535e-05, 1.0, 1.0
володин, @default_class, 8.280202018795535e-05, 1.0, 1.0
венок, @default_class, 8.280202018795535e-05, 1.0, 1.0
великий, @default_class, 8.280202018795535e-05, 1.0, 1.0
срыв, @default_class, 0.0001656040403759107, 2.0, 1.0
рябинский, @default_class, 8.280202018795535e-05, 1.0, 1.0
промоутерский, @default_class, 8.280202018795535e-05, 1.0, 1.0
промоутер, @default_class, 0.0001656040403759107, 2.0, 1.0
проба, @default_class, 0.0001656040403759107, 2.0, 1.0
причинять, @default_class, 8.280202018795535e-05, 1.0, 1.0
препарат, @default_class, 8.280202018795535e-05, 1.0, 1.0
понести, @default_class, 8.280202018795535e-05, 1.0, 1.0
панамский, @default_class, 0.00024840605328790843, 3.0, 1.0
оспаривать, @default_class, 8.280202018795535e-05, 1.0, 1.0
независимый, @default_class, 8.280202018795535e-05, 1.0, 1.0
лебедев, @default_class, 0.0001656040403759107, 2.0, 1.0
лаборатория, @default_class, 8.280202018795535e-05, 1.0, 1.0
крылатское, @default_class, 8.280202018795535e-05, 1.0, 1.0
кровь, @default_class, 8.280202018795535e-05, 1.0, 1.0
кинг, @default_class, 0.0003312080807518214, 4.0, 1.0
дисквалифицироваться, @default_class, 8.280202018795535e-05, 1.0, 1.0
джонс, @default_class, 0.00024840605328790843, 3.0, 1.0
денис, @default_class, 8.280202018795535e-05, 1.0, 1.0
вскрытие, @default_class, 8.280202018795535e-05, 1.0, 1.0
минимально, @default_class, 8.280202018795535e-05, 1.0, 1.0
вещество, @default_class, 8.280202018795535e-05, 1.0, 1.0
трансферный, @default_class, 8.280202018795535e-05, 1.0, 1.0
суперкубок, @default_class, 0.00024840605328790843, 3.0, 1.0
расторгать, @default_class, 8.280202018795535e-05, 1.0, 1.0
обоюдный, @default_class, 8.280202018795535e-05, 1.0, 1.0
лысяк, @default_class, 0.0001656040403759107, 2.0, 1.0
возмещать, @default_class, 8.280202018795535e-05, 1.0, 1.0
кубань, @default_class, 8.280202018795535e-05, 1.0, 1.0
карьера, @default_class, 8.280202018795535e-05, 1.0, 1.0
карточка, @default_class, 8.280202018795535e-05, 1.0, 1.0
кайрат, @default_class, 0.0003312080807518214, 4.0, 1.0
казахстан, @default_class, 0.0003312080807518214, 4.0, 2.0
достойный, @default_class, 8.280202018795535e-05, 1.0, 1.0
астана, @default_class, 8.280202018795535e-05, 1.0, 1.0
энергетический, @default_class, 8.280202018795535e-05, 1.0, 1.0
эмитент, @default_class, 8.280202018795535e-05, 1.0, 1.0
торговаться, @default_class, 8.280202018795535e-05, 1.0, 1.0
ростелеком, @default_class, 8.280202018795535e-05, 1.0, 1.0
норвежский, @default_class, 8.280202018795535e-05, 1.0, 1.0
концерн, @default_class, 8.280202018795535e-05, 1.0, 1.0
издержка, @default_class, 8.280202018795535e-05, 1.0, 1.0
делистинг, @default_class, 0.0003312080807518214, 4.0, 1.0
голландский, @default_class, 8.280202018795535e-05, 1.0, 1.0
алюминиевый, @default_class, 8.280202018795535e-05, 1.0, 1.0
paris, @default_class, 8.280202018795535e-05, 1.0, 1.0
совершаться, @default_class, 8.280202018795535e-05, 1.0, 1.0
непредвиденный, @default_class, 8.280202018795535e-05, 1.0, 1.0
nyse, @default_class, 0.00024840605328790843, 3.0, 1.0
norsk, @default_class, 8.280202018795535e-05, 1.0, 1.0
money, @default_class, 8.280202018795535e-05, 1.0, 1.0
euronext, @default_class, 8.280202018795535e-05, 1.0, 1.0
enel, @default_class, 8.280202018795535e-05, 1.0, 1.0
basf, @default_class, 8.280202018795535e-05, 1.0, 1.0
упоминаться, @default_class, 8.280202018795535e-05, 1.0, 1.0
террористка, @default_class, 8.280202018795535e-05, 1.0, 1.0
совещание, @default_class, 8.280202018795535e-05, 1.0, 1.0
северокавказский, @default_class, 8.280202018795535e-05, 1.0, 1.0
пуля, @default_class, 8.280202018795535e-05, 1.0, 1.0
магомедали, @default_class, 8.280202018795535e-05, 1.0, 1.0
магомед, @default_class, 8.280202018795535e-05, 1.0, 1.0
исрапил, @default_class, 0.00024840605328790843, 3.0, 1.0
доку, @default_class, 8.280202018795535e-05, 1.0, 1.0
вагаб, @default_class, 0.0001656040403759107, 2.0, 1.0
бандподполье, @default_class, 0.0001656040403759107, 2.0, 1.0
антитеррористический, @default_class, 8.280202018795535e-05, 1.0, 1.0
амир, @default_class, 8.280202018795535e-05, 1.0, 1.0
адалай, @default_class, 8.280202018795535e-05, 1.0, 1.0
чантурия, @default_class, 8.280202018795535e-05, 1.0, 1.0
химки, @default_class, 8.280202018795535e-05, 1.0, 1.0
хавбек, @default_class, 0.0001656040403759107, 2.0, 2.0
урал, @default_class, 0.0001656040403759107, 2.0, 1.0
сотрясение, @default_class, 0.0001656040403759107, 2.0, 1.0
инициировать, @default_class, 8.280202018795535e-05, 1.0, 1.0
полузащитник, @default_class, 0.0001656040403759107, 2.0, 2.0
одноклубник, @default_class, 0.0001656040403759107, 2.0, 2.0
носилки, @default_class, 8.280202018795535e-05, 1.0, 1.0
екатеринбургский, @default_class, 0.0001656040403759107, 2.0, 1.0
голубой, @default_class, 8.280202018795535e-05, 1.0, 1.0
учет, @default_class, 8.280202018795535e-05, 1.0, 1.0
сексуальный, @default_class, 8.280202018795535e-05, 1.0, 1.0
резервация, @default_class, 0.0001656040403759107, 2.0, 1.0
работодатель, @default_class, 8.280202018795535e-05, 1.0, 1.0
прочий, @default_class, 8.280202018795535e-05, 1.0, 1.0
просто, @default_class, 8.280202018795535e-05, 1.0, 1.0
прорабатывать, @default_class, 8.280202018795535e-05, 1.0, 1.0
подсчет, @default_class, 8.280202018795535e-05, 1.0, 1.0
педофилия, @default_class, 8.280202018795535e-05, 1.0, 1.0
педиатр, @default_class, 8.280202018795535e-05, 1.0, 1.0
офицерский, @default_class, 8.280202018795535e-05, 1.0, 1.0
осужденный, @default_class, 0.0001656040403759107, 2.0, 1.0
наклонность, @default_class, 8.280202018795535e-05, 1.0, 1.0
индейский, @default_class, 8.280202018795535e-05, 1.0, 1.0
изменение, @default_class, 8.280202018795535e-05, 1.0, 1.0
здравоохранение, @default_class, 0.00024840605328790843, 3.0, 1.0
законодательство, @default_class, 8.280202018795535e-05, 1.0, 1.0
дакота, @default_class, 8.280202018795535e-05, 1.0, 1.0
госучреждение, @default_class, 8.280202018795535e-05, 1.0, 1.0
вероятный, @default_class, 0.0001656040403759107, 2.0, 1.0
армейский, @default_class, 8.280202018795535e-05, 1.0, 1.0
weber, @default_class, 8.280202018795535e-05, 1.0, 1.0
frontline, @default_class, 8.280202018795535e-05, 1.0, 1.0
эвакуировать, @default_class, 0.0001656040403759107, 2.0, 1.0
нарушитель, @default_class, 8.280202018795535e-05, 1.0, 1.0
кэмп, @default_class, 8.280202018795535e-05, 1.0, 1.0
выходной, @default_class, 8.280202018795535e-05, 1.0, 1.0
agence, @default_class, 8.280202018795535e-05, 1.0, 1.0
фотоальбом, @default_class, 8.280202018795535e-05, 1.0, 1.0
утерять, @default_class, 8.280202018795535e-05, 1.0, 1.0
танковый, @default_class, 8.280202018795535e-05, 1.0, 1.0
счесть, @default_class, 8.280202018795535e-05, 1.0, 1.0
снайперский, @default_class, 8.280202018795535e-05, 1.0, 1.0
слушание, @default_class, 0.0001656040403759107, 2.0, 2.0
приобщать, @default_class, 8.280202018795535e-05, 1.0, 1.0
приказывать, @default_class, 8.280202018795535e-05, 1.0, 1.0
полк, @default_class, 8.280202018795535e-05, 1.0, 1.0
очный, @default_class, 8.280202018795535e-05, 1.0, 1.0
осмотр, @default_class, 0.0001656040403759107, 2.0, 1.0
окружной, @default_class, 0.0001656040403759107, 2.0, 2.0
мухин, @default_class, 0.0001656040403759107, 2.0, 1.0
материал, @default_class, 0.0003312080807518214, 4.0, 3.0
кунгаева, @default_class, 0.00024840605328790843, 3.0, 1.0
ассамблея, @default_class, 0.0001656040403759107, 2.0, 1.0
кунгаев, @default_class, 0.0001656040403759107, 2.0, 1.0
командир, @default_class, 8.280202018795535e-05, 1.0, 1.0
задушить, @default_class, 8.280202018795535e-05, 1.0, 1.0
допрашивать, @default_class, 0.0001656040403759107, 2.0, 2.0
царицыно, @default_class, 8.280202018795535e-05, 1.0, 1.0
устанавливаться, @default_class, 0.0001656040403759107, 2.0, 2.0
станция, @default_class, 0.0001656040403759107, 2.0, 2.0
поезд, @default_class, 0.0001656040403759107, 2.0, 2.0
зеленый, @default_class, 8.280202018795535e-05, 1.0, 1.0
замоскворецкий, @default_class, 8.280202018795535e-05, 1.0, 1.0
бросаться, @default_class, 8.280202018795535e-05, 1.0, 1.0
шипман, @default_class, 0.0003312080807518214, 4.0, 1.0
чувствовать, @default_class, 8.280202018795535e-05, 1.0, 1.0
фиксироваться, @default_class, 8.280202018795535e-05, 1.0, 1.0
улика, @default_class, 8.280202018795535e-05, 1.0, 1.0
сотрудница, @default_class, 0.0001656040403759107, 2.0, 1.0
снятие, @default_class, 8.280202018795535e-05, 1.0, 1.0
романтический, @default_class, 8.280202018795535e-05, 1.0, 1.0
проникать, @default_class, 8.280202018795535e-05, 1.0, 1.0
приносить, @default_class, 8.280202018795535e-05, 1.0, 1.0
представать, @default_class, 8.280202018795535e-05, 1.0, 1.0
офилейный, @default_class, 8.280202018795535e-05, 1.0, 1.0
офилейн, @default_class, 8.280202018795535e-05, 1.0, 1.0
опротестовывать, @default_class, 8.280202018795535e-05, 1.0, 1.0
новак, @default_class, 0.0005796141340397298, 7.0, 1.0
лиза, @default_class, 0.0001656040403759107, 2.0, 1.0
колин, @default_class, 0.0001656040403759107, 2.0, 1.0
грабеж, @default_class, 8.280202018795535e-05, 1.0, 1.0
браслет, @default_class, 0.0001656040403759107, 2.0, 1.0
астронавтка, @default_class, 8.280202018795535e-05, 1.0, 1.0
nasa, @default_class, 0.0001656040403759107, 2.0, 1.0
эгида, @default_class, 8.280202018795535e-05, 1.0, 1.0
чистый, @default_class, 8.280202018795535e-05, 1.0, 1.0
фамилия, @default_class, 8.280202018795535e-05, 1.0, 1.0
удовлетворение, @default_class, 8.280202018795535e-05, 1.0, 1.0
степанова, @default_class, 8.280202018795535e-05, 1.0, 1.0
степанов, @default_class, 0.00041401010821573436, 5.0, 1.0
спортсменка, @default_class, 0.0001656040403759107, 2.0, 1.0
спортсмен, @default_class, 0.0001656040403759107, 2.0, 1.0
соревнование, @default_class, 0.0003312080807518214, 4.0, 1.0
русанова, @default_class, 8.280202018795535e-05, 1.0, 1.0
нетерпение, @default_class, 8.280202018795535e-05, 1.0, 1.0
непричастный, @default_class, 8.280202018795535e-05, 1.0, 1.0
нейтральный, @default_class, 8.280202018795535e-05, 1.0, 1.0
мокнуть, @default_class, 8.280202018795535e-05, 1.0, 1.0
легкоатлетка, @default_class, 8.280202018795535e-05, 1.0, 1.0
легкоатлетический, @default_class, 8.280202018795535e-05, 1.0, 1.0
легкоатлет, @default_class, 0.00024840605328790843, 3.0, 1.0
информатор, @default_class, 0.0001656040403759107, 2.0, 1.0
индивидуальный, @default_class, 8.280202018795535e-05, 1.0, 1.0
желание, @default_class, 8.280202018795535e-05, 1.0, 1.0
допинговый, @default_class, 8.280202018795535e-05, 1.0, 1.0
дисквалифицировать, @default_class, 8.280202018795535e-05, 1.0, 1.0
девичий, @default_class, 8.280202018795535e-05, 1.0, 1.0
iaaf, @default_class, 0.00041401010821573436, 5.0, 1.0
съемка, @default_class, 8.280202018795535e-05, 1.0, 1.0
советский, @default_class, 8.280202018795535e-05, 1.0, 1.0
разогрев, @default_class, 8.280202018795535e-05, 1.0, 1.0
подкидывать, @default_class, 8.280202018795535e-05, 1.0, 1.0
пропагандировать, @default_class, 8.280202018795535e-05, 1.0, 1.0
короткий, @default_class, 8.280202018795535e-05, 1.0, 1.0
мадонна, @default_class, 8.280202018795535e-05, 1.0, 1.0
лундгреный, @default_class, 8.280202018795535e-05, 1.0, 1.0
лундгрен, @default_class, 0.0001656040403759107, 2.0, 1.0
кстати, @default_class, 8.280202018795535e-05, 1.0, 1.0
концерт, @default_class, 0.0003312080807518214, 4.0, 1.0
идея, @default_class, 8.280202018795535e-05, 1.0, 1.0
замысел, @default_class, 8.280202018795535e-05, 1.0, 1.0
дольф, @default_class, 8.280202018795535e-05, 1.0, 1.0
врываться, @default_class, 8.280202018795535e-05, 1.0, 1.0
барабанщик, @default_class, 0.0001656040403759107, 2.0, 1.0
reporter, @default_class, 8.280202018795535e-05, 1.0, 1.0
hollywood, @default_class, 8.280202018795535e-05, 1.0, 1.0
dolph, @default_class, 8.280202018795535e-05, 1.0, 1.0
вспоминать, @default_class, 8.280202018795535e-05, 1.0, 1.0
легкий, @default_class, 0.00024840605328790843, 3.0, 3.0
средиземный, @default_class, 8.280202018795535e-05, 1.0, 1.0
воспоминание, @default_class, 8.280202018795535e-05, 1.0, 1.0
видеться, @default_class, 8.280202018795535e-05, 1.0, 1.0
город, @default_class, 0.0022356545086950064, 27.0, 21.0
верный, @default_class, 8.280202018795535e-05, 1.0, 1.0
бороться, @default_class, 8.280202018795535e-05, 1.0, 1.0
матис, @default_class, 0.0001656040403759107, 2.0, 1.0
аварийный, @default_class, 0.0001656040403759107, 2.0, 2.0
акватория, @default_class, 8.280202018795535e-05, 1.0, 1.0
доводить, @default_class, 8.280202018795535e-05, 1.0, 1.0
возведение, @default_class, 0.0001656040403759107, 2.0, 2.0
позволять, @default_class, 0.00024840605328790843, 3.0, 3.0
письмо, @default_class, 0.00041401010821573436, 5.0, 3.0
речь, @default_class, 0.0005796141340397298, 7.0, 6.0
мурзилка, @default_class, 0.0001656040403759107, 2.0, 1.0
вылетать, @default_class, 8.280202018795535e-05, 1.0, 1.0
проектирование, @default_class, 8.280202018795535e-05, 1.0, 1.0
оборонный, @default_class, 8.280202018795535e-05, 1.0, 1.0
объяснение, @default_class, 8.280202018795535e-05, 1.0, 1.0
модель, @default_class, 0.0006624161615036428, 8.0, 3.0
первый, @default_class, 0.0019044465152546763, 23.0, 17.0
systems, @default_class, 8.280202018795535e-05, 1.0, 1.0
инцидент, @default_class, 0.0009936242131516337, 12.0, 10.0
вшивый, @default_class, 8.280202018795535e-05, 1.0, 1.0
saudi, @default_class, 8.280202018795535e-05, 1.0, 1.0
упражнение, @default_class, 8.280202018795535e-05, 1.0, 1.0
вселяться, @default_class, 8.280202018795535e-05, 1.0, 1.0
отнимать, @default_class, 8.280202018795535e-05, 1.0, 1.0
несмотря, @default_class, 0.0003312080807518214, 4.0, 4.0
фелиу, @default_class, 8.280202018795535e-05, 1.0, 1.0
начальник, @default_class, 8.280202018795535e-05, 1.0, 1.0
бесплатный, @default_class, 8.280202018795535e-05, 1.0, 1.0
отток, @default_class, 0.00041401010821573436, 5.0, 1.0
бесплатно, @default_class, 8.280202018795535e-05, 1.0, 1.0
заблокировать, @default_class, 8.280202018795535e-05, 1.0, 1.0
сезон, @default_class, 0.00041401010821573436, 5.0, 3.0
white, @default_class, 0.00024840605328790843, 3.0, 1.0
учредитель, @default_class, 8.280202018795535e-05, 1.0, 1.0
cafe, @default_class, 0.0001656040403759107, 2.0, 1.0
противоправный, @default_class, 8.280202018795535e-05, 1.0, 1.0
дискредитация, @default_class, 8.280202018795535e-05, 1.0, 1.0
этап, @default_class, 8.280202018795535e-05, 1.0, 1.0
размещение, @default_class, 8.280202018795535e-05, 1.0, 1.0
товарищеский, @default_class, 8.280202018795535e-05, 1.0, 1.0
резко, @default_class, 8.280202018795535e-05, 1.0, 1.0
сложность, @default_class, 0.00024840605328790843, 3.0, 3.0
кашель, @default_class, 8.280202018795535e-05, 1.0, 1.0
продолжать, @default_class, 0.0004968121065758169, 6.0, 5.0
сдача, @default_class, 0.0001656040403759107, 2.0, 1.0
считаться, @default_class, 0.0001656040403759107, 2.0, 2.0
продовольственный, @default_class, 0.0001656040403759107, 2.0, 1.0
касаться, @default_class, 0.00041401010821573436, 5.0, 5.0
продлять, @default_class, 8.280202018795535e-05, 1.0, 1.0
извержение, @default_class, 0.0001656040403759107, 2.0, 1.0
многоквартирный, @default_class, 8.280202018795535e-05, 1.0, 1.0
крылатский, @default_class, 8.280202018795535e-05, 1.0, 1.0
захаркин, @default_class, 8.280202018795535e-05, 1.0, 1.0
выездной, @default_class, 8.280202018795535e-05, 1.0, 1.0
брагин, @default_class, 8.280202018795535e-05, 1.0, 1.0
андрей, @default_class, 0.0010764262406155467, 13.0, 10.0
сторожевой, @default_class, 8.280202018795535e-05, 1.0, 1.0
официально, @default_class, 8.280202018795535e-05, 1.0, 1.0
предоставлять, @default_class, 0.00024840605328790843, 3.0, 3.0
штрафовать, @default_class, 8.280202018795535e-05, 1.0, 1.0
клишаса, @default_class, 8.280202018795535e-05, 1.0, 1.0
спецоперация, @default_class, 8.280202018795535e-05, 1.0, 1.0
оживление, @default_class, 8.280202018795535e-05, 1.0, 1.0
сопротивление, @default_class, 0.00024840605328790843, 3.0, 2.0
харрис, @default_class, 8.280202018795535e-05, 1.0, 1.0
отец, @default_class, 0.00024840605328790843, 3.0, 2.0
афгано, @default_class, 8.280202018795535e-05, 1.0, 1.0
санкционировать, @default_class, 8.280202018795535e-05, 1.0, 1.0
lodge, @default_class, 8.280202018795535e-05, 1.0, 1.0
санкт, @default_class, 8.280202018795535e-05, 1.0, 1.0
рихо, @default_class, 8.280202018795535e-05, 1.0, 1.0
полковник, @default_class, 0.00024840605328790843, 3.0, 2.0
сознание, @default_class, 0.00024840605328790843, 3.0, 2.0
бердянск, @default_class, 8.280202018795535e-05, 1.0, 1.0
паника, @default_class, 8.280202018795535e-05, 1.0, 1.0
атташе, @default_class, 0.0001656040403759107, 2.0, 1.0
антибиотик, @default_class, 8.280202018795535e-05, 1.0, 1.0
призывать, @default_class, 0.00041401010821573436, 5.0, 5.0
израильский, @default_class, 0.0004968121065758169, 6.0, 1.0
ожидать, @default_class, 0.0001656040403759107, 2.0, 2.0
объяснять, @default_class, 0.00041401010821573436, 5.0, 5.0
перерезывать, @default_class, 8.280202018795535e-05, 1.0, 1.0
делимитация, @default_class, 8.280202018795535e-05, 1.0, 1.0
линия, @default_class, 0.0003312080807518214, 4.0, 3.0
коммуникация, @default_class, 0.0001656040403759107, 2.0, 2.0
конкурировать, @default_class, 8.280202018795535e-05, 1.0, 1.0
спецслужба, @default_class, 0.00041401010821573436, 5.0, 3.0
командующий, @default_class, 0.00024840605328790843, 3.0, 2.0
ftse, @default_class, 8.280202018795535e-05, 1.0, 1.0
добираться, @default_class, 8.280202018795535e-05, 1.0, 1.0
война, @default_class, 0.00024840605328790843, 3.0, 3.0
открытый, @default_class, 0.00024840605328790843, 3.0, 3.0
дагестан, @default_class, 0.0001656040403759107, 2.0, 1.0
разведслужба, @default_class, 8.280202018795535e-05, 1.0, 1.0
авария, @default_class, 8.280202018795535e-05, 1.0, 1.0
вклад, @default_class, 0.0001656040403759107, 2.0, 2.0
турист, @default_class, 0.00024840605328790843, 3.0, 2.0
саркисов, @default_class, 8.280202018795535e-05, 1.0, 1.0
манипулировать, @default_class, 8.280202018795535e-05, 1.0, 1.0
шведский, @default_class, 0.0001656040403759107, 2.0, 2.0
садиться, @default_class, 8.280202018795535e-05, 1.0, 1.0
анатолий, @default_class, 0.0001656040403759107, 2.0, 2.0
прививка, @default_class, 8.280202018795535e-05, 1.0, 1.0
юхтега, @default_class, 0.0001656040403759107, 2.0, 1.0
налоговый, @default_class, 8.280202018795535e-05, 1.0, 1.0
подымать, @default_class, 8.280202018795535e-05, 1.0, 1.0
напутывать, @default_class, 8.280202018795535e-05, 1.0, 1.0
выход, @default_class, 0.0005796141340397298, 7.0, 4.0
доклад, @default_class, 0.0003312080807518214, 4.0, 2.0
базэл, @default_class, 8.280202018795535e-05, 1.0, 1.0
становиться, @default_class, 0.002980872755870223, 36.0, 32.0
гамма, @default_class, 8.280202018795535e-05, 1.0, 1.0
устраивать, @default_class, 0.00024840605328790843, 3.0, 3.0
слабов, @default_class, 0.0003312080807518214, 4.0, 1.0
слаб, @default_class, 0.0003312080807518214, 4.0, 1.0
палестинец, @default_class, 8.280202018795535e-05, 1.0, 1.0
резонансный, @default_class, 8.280202018795535e-05, 1.0, 1.0
раскрываться, @default_class, 8.280202018795535e-05, 1.0, 1.0
доказывать, @default_class, 0.0001656040403759107, 2.0, 2.0
разбойный, @default_class, 8.280202018795535e-05, 1.0, 1.0
сокращение, @default_class, 0.00024840605328790843, 3.0, 2.0
минобороны, @default_class, 0.0001656040403759107, 2.0, 2.0
приезжать, @default_class, 0.00024840605328790843, 3.0, 3.0
потерпеть, @default_class, 8.280202018795535e-05, 1.0, 1.0
портрет, @default_class, 8.280202018795535e-05, 1.0, 1.0
